iter	Passed	Remaining
0	163	162947
1	165	82567
2	167	55695
3	169	42176
4	171	34075
5	173	28678
6	174	24819
7	176	21932
8	178	19688
9	180	17877
10	182	16415
11	184	15179
12	186	14136
13	188	13266
14	190	12531
15	193	11879
16	195	11294
17	197	10768
18	199	10288
19	201	9873
20	203	9485
21	205	9129
22	207	8802
23	209	8506
24	211	8237
25	213	8001
26	215	7768
27	217	7552
28	219	7352
29	221	7160
30	223	6976
31	225	6808
32	227	6657
33	229	6509
34	231	6370
35	233	6239
36	235	6118
37	237	6002
38	239	5898
39	241	5794
40	243	5694
41	245	5597
42	247	5508
43	249	5423
44	251	5336
45	253	5260
46	255	5184
47	257	5109
48	259	5044
49	262	4983
50	264	4922
51	266	4861
52	268	4802
53	271	4751
54	273	4701
55	275	4649
56	277	4599
57	280	4550
58	282	4504
59	284	4460
60	286	4415
61	288	4368
62	291	4328
63	293	4288
64	295	4249
65	297	4211
66	299	4174
67	301	4126
68	303	4090
69	305	4057
70	307	4028
71	309	3995
72	311	3958
73	313	3925
74	315	3895
75	317	3866
76	320	3837
77	322	3809
78	324	3783
79	326	3756
80	328	3727
81	330	3701
82	332	3678
83	335	3656
84	336	3623
85	339	3603
86	340	3573
87	342	3552
88	345	3531
89	347	3511
90	349	3492
91	351	3470
92	353	3449
93	356	3435
94	358	3415
95	360	3394
96	362	3376
97	364	3357
98	366	3337
99	368	3316
100	370	3296
101	371	3269
102	373	3249
103	374	3230
104	377	3214
105	379	3198
106	381	3182
107	383	3167
108	385	3152
109	387	3137
110	389	3121
111	392	3108
112	394	3095
113	396	3080
114	398	3064
115	399	3048
116	402	3034
117	404	3023
118	406	3009
119	408	2999
120	411	2987
121	413	2977
122	415	2965
123	418	2955
124	420	2943
125	423	2937
126	426	2931
127	428	2916
128	430	2906
129	433	2897
130	435	2888
131	438	2880
132	440	2871
133	442	2861
134	445	2851
135	447	2840
136	449	2832
137	451	2821
138	454	2814
139	456	2806
140	459	2797
141	461	2788
142	463	2780
143	466	2771
144	468	2763
145	471	2759
146	474	2752
147	477	2748
148	479	2741
149	482	2734
150	485	2730
151	488	2723
152	490	2717
153	493	2710
154	495	2702
155	498	2696
156	500	2689
157	503	2683
158	505	2676
159	508	2669
160	510	2662
161	513	2655
162	515	2647
163	518	2641
164	520	2635
165	523	2628
166	526	2624
167	528	2618
168	531	2612
169	534	2608
170	536	2602
171	539	2594
172	541	2588
173	544	2582
174	546	2578
175	550	2575
176	552	2570
177	554	2562
178	557	2556
179	560	2553
180	562	2543
181	564	2536
182	566	2529
183	569	2523
184	571	2516
185	573	2511
186	576	2506
